id_maestro,fuente_principal,nombre,region,sector,estado,año_inicio,en_ejatlas,nombre_ejatlas,en_ocmal,nombre_ocmal
CONF-0001,INDH,El Tranquilo,Magallanes y la Antártica Chilena,Minería,Latente,2015,False,,False,
CONF-0002,INDH,Línea de transmisión Melipeuco-Freire,La Araucanía,Energía,Latente,2011,False,,False,
CONF-0003,INDH,"Usurpación de aguas en Petorca, Cabildo y La Ligua",Valparaíso,Agropecuario,Activo,2002,False,,False,
CONF-0004,INDH,Almacenamiento de ácido sulfúrico en puerto de San Antonio,Valparaíso,Minería,Archivado,2010,False,,False,
CONF-0005,INDH,Lavadero de oro en río Colico,La Araucanía,Minería,Archivado,2009,False,,True,Río Colico Mining Dispute
CONF-0006,INDH,Central de Pasada Mediterráneo,Los Lagos,Energía,Activo,2012,False,,False,
CONF-0007,INDH,Andina 244,Valparaíso,Minería,Cerrado,2013,True,"Proyecto Expansión Andina 244 CODELCO, Chile",True,Oposición a Proyecto Andina 244
CONF-0008,INDH,Central Térmica RC Generación,Valparaíso,Energía,Archivado,2008,False,,False,
CONF-0009,INDH,Puesco-Momolluco,La Araucanía,Energía,Cerrado,2015,False,,False,
CONF-0010,INDH,Planta de Tratamiento de lodos Cabrero,,Saneamiento ambiental,Activo,2017,False,,False,
CONF-0011,INDH,Central hidroeléctrica El Gato,,Energía,Latente,2015,True,"Proyecto Central Hidroeléctrica Aguas Calientes, Chile",False,
CONF-0012,INDH,Manejo y disposición de RISES del Complejo Termoeléctrico Ventanas,Valparaíso,Energía,Activo,2010,False,,False,
CONF-0013,INDH,Fundición Ventanas,Valparaíso,Minería,Activo,1990,True,"Refinería y fundición ENAMI-CODELCO en Zona de Sacrificio Ventanas, Chile",False,
CONF-0014,INDH,Mina Carmen de Andacollo,Coquimbo,Minería,Latente,1995,True,"Mina de cobre Carmen de Andacollo,  Chile",True,Carmen de Andacollo Toxic Waste
CONF-0015,INDH,Pozos de extracción de agua en el Parque Nacional Lauca,Arica y Parinacota,Minería,Latente,1992,True,"Minería en el Parque y Reserva Nacional Lauca-Las Vicuñas, Chile",True,Pampa Colorada extracción agua comunidades
CONF-0016,INDH,Vertedero Municipal Boyeco,La Araucanía,Saneamiento ambiental,Cerrado,1992,False,,False,
CONF-0017,INDH,Perforación geotérmica profunda El Tatio Fase I,Antofagasta,Energía,Archivado,2007,False,,False,
CONF-0018,INDH,Vertedero la Hormiga,,Saneamiento ambiental,Cerrado,2013,False,,False,
CONF-0019,INDH,Desafectación del Parque Nacional Lauca,Arica y Parinacota,Minería,Cerrado,2010,False,,False,
CONF-0020,INDH,Central termoeléctrica Hornitos,Antofagasta,Energía,Activo,2006,False,,False,
CONF-0021,INDH,Dunas de Putú,Maule,Minería,Archivado,2010,False,,True,Proyecto extracción de hierro en dunas de Putú
CONF-0022,INDH,Central termoeléctrica Bocamina II,Biobío,Energía,Activo,2006,False,,False,
CONF-0023,INDH,Concesiones Mineras Lago Lleu Lleu,Biobío,Minería,Archivado,2004,True,"Lago Lleu Lleu, Chile",True,Scandium Discovery at Lago Lleu Lleu
CONF-0024,INDH,Contaminación del río Rahue y Damas,,Otro,Latente,2015,False,,False,
CONF-0025,INDH,Central termoeléctrica Farellones,Coquimbo,Energía,Archivado,2007,False,,False,
CONF-0026,INDH,Proyecto Minero Vizcachitas,,Minería,Activo,2008,False,,False,
CONF-0027,INDH,Derrame Río Aconcagua,,Otro,Latente,2011,False,,False,
CONF-0028,INDH,Deshechos mineros en Copaquilla,,Minería,Latente,1989,False,,False,
CONF-0029,INDH,Derrame en bahía de Quintero,,Otro,Activo,2014,False,,False,
CONF-0030,INDH,Desastre ecológico en humedal de Batuco,Metropolitana de Santiago,Saneamiento ambiental,Latente,2005,False,,False,
CONF-0031,INDH,Relleno sanitario Chiloé,Los Lagos,Saneamiento ambiental,Activo,2010,False,,False,
CONF-0032,INDH,Planta de celulosa Licancel,Maule,Forestal,Latente,1999,False,,False,
CONF-0033,INDH,Relleno Sanitario El Panul ,,Saneamiento ambiental,Latente,2017,False,,False,
CONF-0034,INDH,Contaminación del río Choapa por Mina Los Pelambres,Coquimbo,Minería,Activo,2008,False,,False,
CONF-0035,INDH,Central termoeléctrica Cruz Grande,Coquimbo,Energía,Archivado,2008,False,,False,
CONF-0036,INDH,Proyecto Los Pingos,Coquimbo,Minería,Archivado,2001,False,,False,
CONF-0037,INDH,"Minicentral Hidroeléctrica Río Mañío, Bosch Rivera Ltda.",,Energía,Activo,2019,False,,False,
CONF-0038,INDH,Central termoeléctrica Punta Colorada,Coquimbo,Energía,Archivado,2007,False,,False,
CONF-0039,INDH,Proyecto minero Tres Valles ,Coquimbo,Minería,Latente,2008,True,"Minera Tres Valles en Coquimbo, Chile",True,Tres Valles Project
CONF-0040,INDH,Embalse Chacrillas,Valparaíso,Infraestructura de transporte,Activo,2009,False,,False,
CONF-0041,INDH,Relleno Sanitario Iquique (Vertedero El Boro),,Saneamiento ambiental,Activo,2016,False,,False,
CONF-0042,INDH,Central termoeléctrica Pirquenes,Biobío,Energía,Cerrado,2010,False,,False,
CONF-0043,INDH,Central de Enegía Biomasa Mulchén,Biobío,Energía,Archivado,2013,False,,False,
CONF-0044,INDH,Emanación de olores en Longotoma y La Ligua,,Agropecuario,Activo,2015,False,,False,
CONF-0045,INDH,Embalse Puntilla del Viento,Valparaíso,Infraestructura de transporte,Cerrado,2006,False,,False,
CONF-0046,INDH,Extracción ilegal de agua en pampa del Tamarugal,Tarapacá,Minería,Archivado,2006,False,,False,
CONF-0047,INDH,Proyecto Paguanta ,,Minería,Activo,2011,False,,False,
CONF-0048,INDH,Planta de cerdos Maxagro,,Agropecuario,Latente,2016,False,,False,
CONF-0049,INDH,Planta de Tratamiento de Aguas Servidas Panitao,,Otro,Activo,2015,False,,False,
CONF-0050,INDH,Planta de molienda de cemento Coronel,Biobío,Instalaciones fabriles,Archivado,2010,False,,False,
CONF-0051,INDH,Doña Alicia,La Araucanía,Energía,Cerrado,2013,True,"Represas río Cautín (Alto Cautín y Doña Alicia), Chile",False,
CONF-0052,INDH,"Tiltil, patio trasero de Santiago",Metropolitana de Santiago,Saneamiento ambiental,Activo,2010,False,,False,
CONF-0053,INDH,Central Termoeléctrica Energía Minera,Valparaíso,Energía,Archivado,2008,False,,False,
CONF-0054,INDH,Central Hidroeléctrica Osorno,Los Lagos,Energía,Activo,2007,False,,False,
CONF-0055,INDH,Galpón Antofagasta Terminal Internacional,Antofagasta,Infraestructura portuaria,Activo,2006,False,,False,
CONF-0056,INDH,Proyecto minero El Pachón,Coquimbo,Infraestructura de transporte,Cerrado,2006,False,,False,
